2017/12/1 11:20:52 [ERROR]2017/12/1 11:20:52初始化处理失败请检查配置，原因：未能加载文件或程序集“OpcRcw.Da, Version=3.0.2.22, Culture=neutral, PublicKeyToken=9a40e993cbface53”或它的某一个依赖项。系统找不到指定的文件。 
2017/12/1 11:21:16 [INFO]2017/12/1 11:21:16退出系统 
2017/12/1 11:21:29 [ERROR]2017/12/1 11:21:29初始化处理失败请检查配置，原因：未能加载文件或程序集“OpcRcw.Da, Version=3.0.2.22, Culture=neutral, PublicKeyToken=9a40e993cbface53”或它的某一个依赖项。系统找不到指定的文件。 
2017/12/1 11:23:53 [INFO]2017/12/1 11:23:53退出系统 
2017/12/1 11:24:26 [ERROR]2017/12/1 11:24:26初始化处理失败请检查配置，原因：检索 COM 类工厂中 CLSID 为 {B6EACB30-42D5-11D0-9517-0020AFAA4B3C} 的组件失败，原因是出现以下错误: 80080005 服务器运行失败 (异常来自 HRESULT:0x80080005 (CO_E_SERVER_EXEC_FAILURE))。 
2017/12/1 11:24:29 [INFO]2017/12/1 11:24:29退出系统 
2017/12/1 11:25:06 [ERROR]2017/12/1 11:25:05初始化处理失败请检查配置，原因：检索 COM 类工厂中 CLSID 为 {B6EACB30-42D5-11D0-9517-0020AFAA4B3C} 的组件失败，原因是出现以下错误: 80080005 服务器运行失败 (异常来自 HRESULT:0x80080005 (CO_E_SERVER_EXEC_FAILURE))。 
2017/12/1 11:25:07 [INFO]2017/12/1 11:25:07退出系统 
2017/12/1 11:26:29 [ERROR]2017/12/1 11:26:29初始化处理失败请检查配置，原因：检索 COM 类工厂中 CLSID 为 {B6EACB30-42D5-11D0-9517-0020AFAA4B3C} 的组件失败，原因是出现以下错误: 80080005 服务器运行失败 (异常来自 HRESULT:0x80080005 (CO_E_SERVER_EXEC_FAILURE))。 
2017/12/1 11:27:15 [ERROR]2017/12/1 11:27:15初始化处理失败请检查配置，原因：检索 COM 类工厂中 CLSID 为 {B6EACB30-42D5-11D0-9517-0020AFAA4B3C} 的组件失败，原因是出现以下错误: 80080005 服务器运行失败 (异常来自 HRESULT:0x80080005 (CO_E_SERVER_EXEC_FAILURE))。 
2017/12/1 11:27:54 [INFO]2017/12/1 11:27:54退出系统 
2017/12/1 11:29:48 [ERROR]2017/12/1 11:29:48初始化处理失败请检查配置，原因：检索 COM 类工厂中 CLSID 为 {B6EACB30-42D5-11D0-9517-0020AFAA4B3C} 的组件失败，原因是出现以下错误: 80080005 服务器运行失败 (异常来自 HRESULT:0x80080005 (CO_E_SERVER_EXEC_FAILURE))。 
2017/12/1 11:30:08 [INFO]2017/12/1 11:30:08退出系统 
2017/12/1 11:30:47 [ERROR]2017/12/1 11:30:47初始化处理失败请检查配置，原因：检索 COM 类工厂中 CLSID 为 {B6EACB30-42D5-11D0-9517-0020AFAA4B3C} 的组件失败，原因是出现以下错误: 80080005 服务器运行失败 (异常来自 HRESULT:0x80080005 (CO_E_SERVER_EXEC_FAILURE))。 
2017/12/1 11:30:57 [INFO]2017/12/1 11:30:57退出系统 
2017/12/1 11:31:35 [ERROR]2017/12/1 11:31:35初始化处理失败请检查配置，原因：检索 COM 类工厂中 CLSID 为 {B6EACB30-42D5-11D0-9517-0020AFAA4B3C} 的组件失败，原因是出现以下错误: 80080005 服务器运行失败 (异常来自 HRESULT:0x80080005 (CO_E_SERVER_EXEC_FAILURE))。 
2017/12/1 11:36:08 [ERROR]2017/12/1 11:36:08初始化处理失败请检查配置，原因：检索 COM 类工厂中 CLSID 为 {B6EACB30-42D5-11D0-9517-0020AFAA4B3C} 的组件失败，原因是出现以下错误: 80080005 服务器运行失败 (异常来自 HRESULT:0x80080005 (CO_E_SERVER_EXEC_FAILURE))。 
2017/12/1 11:36:28 [INFO]2017/12/1 11:36:28退出系统 
2017/12/1 11:50:06 [INFO]2017/12/1 11:50:06退出系统 
2017/12/1 12:24:00 [INFO]2017/12/1 12:24:00退出系统 
2017/12/1 12:42:54 [INFO]2017/12/1 12:42:54CraneTaskFinished完成标志,任务号:1712010002 
2017/12/1 12:42:57 [ERROR]2017/12/1 12:42:571堆垛机执行时出现错误,代码:301,描述:自动模式下无任务，载货台有货 
2017/12/1 12:44:19 [ERROR]2017/12/1 12:44:181堆垛机执行时出现错误,代码:301,描述:自动模式下无任务，载货台有货 
2017/12/1 12:44:43 [ERROR]2017/12/1 12:44:431堆垛机执行时出现错误,代码:301,描述:自动模式下无任务，载货台有货 
2017/12/1 12:45:02 [INFO]2017/12/1 12:45:021号堆垛机下发急停命令 
2017/12/1 12:45:03 [ERROR]2017/12/1 12:45:031堆垛机执行时出现错误,代码:119,描述:上位机下达急停指令 
2017/12/1 12:45:06 [ERROR]2017/12/1 12:45:061堆垛机执行时出现错误,代码:301,描述:自动模式下无任务，载货台有货 
2017/12/1 12:45:10 [INFO]2017/12/1 12:45:10退出系统 
2017/12/1 12:50:25 [ERROR]2017/12/1 12:50:251堆垛机执行时出现错误,代码:119,描述:上位机下达急停指令 
2017/12/1 13:04:02 [ERROR]2017/12/1 13:04:022号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:04:02 [ERROR]2017/12/1 13:04:021号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:04:17 [ERROR]2017/12/1 13:04:172号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:04:17 [ERROR]2017/12/1 13:04:171号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:04:32 [ERROR]2017/12/1 13:04:322号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:04:32 [ERROR]2017/12/1 13:04:321号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:04:47 [ERROR]2017/12/1 13:04:472号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:04:47 [ERROR]2017/12/1 13:04:471号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:05:02 [ERROR]2017/12/1 13:05:022号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:05:02 [ERROR]2017/12/1 13:05:021号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:05:17 [ERROR]2017/12/1 13:05:172号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:05:17 [ERROR]2017/12/1 13:05:171号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:05:32 [ERROR]2017/12/1 13:05:322号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:05:32 [ERROR]2017/12/1 13:05:321号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:05:47 [ERROR]2017/12/1 13:05:472号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:05:47 [ERROR]2017/12/1 13:05:471号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:06:02 [ERROR]2017/12/1 13:06:022号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:06:02 [ERROR]2017/12/1 13:06:021号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:06:17 [ERROR]2017/12/1 13:06:172号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
2017/12/1 13:06:17 [ERROR]2017/12/1 13:06:171号堆垛机监控故障:Failed to Read OPC,Reason：Timeout, e.g. due to a broken connection. 
